Time,GRW1.F,,,GRW2.F,,
s,N,N,N,N,N,N
,X,Y,Z,X,Y,Z
4.26,3.817,27.4116,105.236,0.546222,-0.410935,4.95407
4.27,2.66384,23.8481,99.4264,-0.315205,-0.298273,4.42943
4.28,1.5773,19.6259,94.5689,0.548758,-0.0116577,4.00926
4.29,0.140321,15.1338,86.2276,0.0152228,0.174861,6.09501
4.3,-0.200604,10.5535,81.3666,0.371234,-0.0757518,4.00932
4.31,-1.22176,5.78175,73.9761,0.150226,-0.0353416,4.52125
4.32,-1.91894,1.6832,67.8141,0.192413,-0.45643,4.77486
4.33,-2.58905,-2.54789,62.2662,0.853697,-0.697112,4.60995
4.34,-4.01052,-5.76886,56.3739,-0.230676,-0.133607,6.17701
4.35,-4.32199,-8.19952,50.676,0.106905,-0.368561,3.04329
4.36,-5.13433,-10.6409,48.3584,0.279359,-0.321524,4.26195
4.37,-5.81994,-12.6294,41.8691,0.416227,-0.370621,4.16844
4.38,-6.31721,-14.0204,35.3892,0.235246,-0.338177,5.13373
4.39,-5.09033,-13.3909,28.5843,0.17086,-0.252143,5.99415
4.4,-3.61118,-11.9636,21.2593,0.657665,-0.186109,4.9627
4.41,-1.98887,-8.11844,14.5654,0.149454,-0.392421,3.04209
4.42,-0.278251,-4.57685,9.61691,0.43725,0.0780433,3.49194
4.43,0.0951004,-2.16706,4.22591,0.0141247,-0.388392,4.68992
4.44,0.0598605,0.00531901,1.79862,-0.00896844,-0.450611,5.30049
4.45,0.0355233,0.29166,1.9718,0.838209,0.0956203,4.44077
4.46,0.231607,0.372602,3.02005,0.21057,-0.377001,5.40006
4.47,0.854387,1.22515,2.85799,-0.20695,-0.0269456,5.30824
